There are physicians who do not vaccinate themselves or let their children be vaccinated	crap doctor doctors mmr
Early version of the small pox vaccine not efficient	answer babies died doctors dr ill list numbers year years
Criticism of labels of those against vaccination and pharmaceutical industry	agree anti baby change damage doctors easily fwiw labels large matter medical pharma possible pretty sarcastic saying society stopped stuff subject understand
Personal report of vaccine damage	agree anti baby change damage doctors easily fwiw labels large matter medical pharma possible pretty sarcastic saying society stopped stuff subject understand
All doctors they know of vaccinate there kids	10 20 discussed doctors flu friends germany gp gps md personally quite seen switzerland today uk
Many reports of vaccination damage and regressive autism after vaccination	doctors link medical parents records respect sarcastic saying seen thousands wrong yesterday
Personal bad experiences of vaccine-preventable diseases	10 15 20 able advise catch caught day diseases doctor doctors dr experienced fever flu headache health hesitate history hurt illness illnesses immune left let looking measles mild mumps old pains parents pass picked proper remember research risk round rubella school seen truly weeks went year
Expression of distrust in the pharmaceutical industry, e.g., unethical, biased in information given	answer countries damaging doctor effect experiences health heard man matter model pharmaceutical researching shown stopped
Account of possible vaccination damage	12 case damage days dirty doctor english gp hurt old pass problems source tetanus uk unvaccinated year
Also vaccinate people can contract tetanus	article contract dirty doctor goes iirc large problems remember tetanus treated
Defence of medical professionals for how they handle vaccine hesitancy	able better bullying certainly clear comes considering day dd1 doctors ethics evil experienced illness left medical mmr nurses parents picture predicting profession right risks sense subject
You cant confirm rubella without a lab test	big comes coming confirm doctor epidemic happen immune lab old pregnant rubella saying sense similar sure test tested women
Difficult to protect vulnerable groups if you're not vaccinated	able certain chemo compulsory dangerous disease diseases doctors fever groups let local medical meet mothers parents park personal pool possible pregnant prevent proof reason risk schools sitting supermarket surgery unvaccinated vulnerable
More important with smear tests than HPV vaccination to prevent cervical cancer	12 age cancer case caught certainly cervical damage doctors early hpv important needed period prevent smear smoking sure tested tests year young
